Cliente,Email,ID Cartão Sócio,Localizador,clubeFavorito,Data da Compra,produto
Simon Littledave,simon.littledave@pop.com.br,SAMS-34612,LOC-SAMS43802,São Caetano do Sul,17/10/2014,Sucrilhos Kellogg's
Simon Littledave,simon.littledave@pop.com.br,SAMS-34612,LOC-SAMS43802,São Caetano do Sul,17/10/2014,Tomate Inteiro Pelado Italiano Raiola
Simon Littledave,simon.littledave@pop.com.br,SAMS-34612,LOC-SAMS43802,São Caetano do Sul,17/10/2014,Molho Barbecue Heinz
Samatha Dagner,samatha.dagner@pop.com.br,SAMS-18030,LOC-SAMS40345,Osasco,2/5/2015,Tomate Inteiro Pelado Italiano Raiola
Samatha Dagner,samatha.dagner@pop.com.br,SAMS-18030,LOC-SAMS40345,Osasco,2/5/2015,Lava Roupas em Pó Member's Mark 5 Kg
Samatha Dagner,samatha.dagner@pop.com.br,SAMS-18030,LOC-SAMS40345,Osasco,2/5/2015,Cereal Froot Loops Kellogg's
Prince Mathia,prince.mathia@r7.com,SAMS-49094,LOC-SAMS10393,Guarulhos,5/8/2015,Ração Carne e Cereais Herói 18 Kg
Leena Kraker,leena.kraker@folha.com.br,SAMS-43081,LOC-SAMS8972,Radial Leste,15/5/2015,Molho Barbecue Heinz
Leena Kraker,leena.kraker@folha.com.br,SAMS-43081,LOC-SAMS8972,Radial Leste,15/5/2015,Sacos para Lixo Reforçado Dover Roll 100 L
Lona Coltman,lona.coltman@globomail.com,SAMS-41236,LOC-SAMS60277,Ribeirão Preto,28/10/2015,Sabão Líquido Roma Coco 2 L
Lona Coltman,lona.coltman@globomail.com,SAMS-41236,LOC-SAMS60277,Ribeirão Preto,28/10/2015,Tira Manchas Member's Mark 2,5 Kg
Noma Patriss,noma.patriss@hotmail.com,SAMS-14328,LOC-SAMS12511,Contagem,23/9/2015,Aparelho de Barbear Gillette Prestobarba 3
Noma Patriss,noma.patriss@hotmail.com,SAMS-14328,LOC-SAMS12511,Contagem,23/9/2015,Composto Lácteo em Pó Zero Lactose Ninho 380 g
Noma Patriss,noma.patriss@hotmail.com,SAMS-14328,LOC-SAMS12511,Contagem,23/9/2015,Kit Fisher-Price
Jason Klis,jason.klis@pop.com.br,SAMS-58900,LOC-SAMS16767,Goiânia,29/10/2014,Ração Carne e Vegetais Herói 18 Kg
Jason Klis,jason.klis@pop.com.br,SAMS-58900,LOC-SAMS16767,Goiânia,29/10/2014,Azeitonas Pretas Azapa Raiola 500 g
Jason Klis,jason.klis@pop.com.br,SAMS-58900,LOC-SAMS16767,Goiânia,29/10/2014,Cápsulas Nescafé Dolce Gusto
Eric Mallen,eric.mallen@yahoo.com.br,SAMS-48139,LOC-SAMS56628,Santo Amaro,9/4/2016,Sacos para Lixo 50 L ou 100 L Member's Mark
Eric Mallen,eric.mallen@yahoo.com.br,SAMS-48139,LOC-SAMS56628,Santo Amaro,9/4/2016,Alimento para Cães Adultos Ultima Sachê
Eric Mallen,eric.mallen@yahoo.com.br,SAMS-48139,LOC-SAMS56628,Santo Amaro,9/4/2016,Shampoo ou Condicionador TRESemmé 1 L
Eric Mallen,eric.mallen@yahoo.com.br,SAMS-48139,LOC-SAMS56628,Santo Amaro,9/4/2016,Passa Fácil Member's Mark
Odette Shurgot,odette.shurgot@uol.com.br,SAMS-30451,LOC-SAMS48808,Santo André,7/12/2015,Ração Carne e Cereais Herói 18 Kg
Joetta Raveling,joetta.raveling@zipmail.com.br,SAMS-50970,LOC-SAMS43362,Maceió,11/6/2016,Sabonete Líquido Member's Mark 980 ml
Joetta Raveling,joetta.raveling@zipmail.com.br,SAMS-50970,LOC-SAMS43362,Maceió,11/6/2016,Azeitonas Pretas Azapa Raiola 500 g
Joetta Raveling,joetta.raveling@zipmail.com.br,SAMS-50970,LOC-SAMS43362,Maceió,11/6/2016,Sacos para Lixo Reforçado Dover Roll 100 L
Joetta Raveling,joetta.raveling@zipmail.com.br,SAMS-50970,LOC-SAMS43362,Maceió,11/6/2016,Shampoo ou Condicionador Aussie Miracle 7 em 1 778 ml
Hortencia Dedon,hortencia.dedon@uol.com.br,SAMS-49184,LOC-SAMS44698,Porto Alegre,7/1/2015,Tira Manchas Member's Mark 2,5 Kg
Hortencia Dedon,hortencia.dedon@uol.com.br,SAMS-49184,LOC-SAMS44698,Porto Alegre,7/1/2015,Azeitonas Pretas Azapa Raiola 500 g
Hortencia Dedon,hortencia.dedon@uol.com.br,SAMS-49184,LOC-SAMS44698,Porto Alegre,7/1/2015,Escova Dental Oral-B Complete
Hortencia Dedon,hortencia.dedon@uol.com.br,SAMS-49184,LOC-SAMS44698,Porto Alegre,7/1/2015,Tratamento Aussie Shine + Strong
Justina Leanos,justina.leanos@uol.com.br,SAMS-64648,LOC-SAMS1736,Natal,23/5/2015,Fralda Pampers Confort Sec
Justina Leanos,justina.leanos@uol.com.br,SAMS-64648,LOC-SAMS1736,Natal,23/5/2015,Kit Fisher-Price
Colleen Nipple,colleen.nipple@pop.com.br,SAMS-48674,LOC-SAMS65183,Osasco,7/4/2014,Tratamento Aussie Moist 3 Minutos
Katerine Boday,katerine.boday@oi.com.br,SAMS-64908,LOC-SAMS31259,Tamboré,13/6/2015,Kit Finish 3 Unidades
Katerine Boday,katerine.boday@oi.com.br,SAMS-64908,LOC-SAMS31259,Tamboré,13/6/2015,Sucrilhos Power Chocolate Kellogg�s
Katerine Boday,katerine.boday@oi.com.br,SAMS-64908,LOC-SAMS31259,Tamboré,13/6/2015,Nescau Sachê 2.0 800 g
Katerine Boday,katerine.boday@oi.com.br,SAMS-64908,LOC-SAMS31259,Tamboré,13/6/2015,Fralda Pampers Confort Sec
Amado Lorusso,amado.lorusso@uol.com.br,SAMS-32907,LOC-SAMS26107,Águas Claras,2/5/2016,Kit Shampoo + Condicionador Dove 750 ml
Amado Lorusso,amado.lorusso@uol.com.br,SAMS-32907,LOC-SAMS26107,Águas Claras,2/5/2016,Whisky Buchanan's 12 Anos 1 L
Amado Lorusso,amado.lorusso@uol.com.br,SAMS-32907,LOC-SAMS26107,Águas Claras,2/5/2016,Lava Roupas Líquido Member's Mark 5 L
Adele Rinaldi,adele.rinaldi@folha.com.br,SAMS-33372,LOC-SAMS33032,Salvador,22/2/2015,Limpa Vidros Member's Mark
Adele Rinaldi,adele.rinaldi@folha.com.br,SAMS-33372,LOC-SAMS33032,Salvador,22/2/2015,Sacos para Lixo 15 L ou 30 L Member's Mark
Adele Rinaldi,adele.rinaldi@folha.com.br,SAMS-33372,LOC-SAMS33032,Salvador,22/2/2015,Tapete Higiênico Sanol Dog
Adele Rinaldi,adele.rinaldi@folha.com.br,SAMS-33372,LOC-SAMS33032,Salvador,22/2/2015,Shampoo ou Condicionador Aussie Miracle 7 em 1 778 ml
Dale Lanzillotti,dale.lanzillotti@hotmail.com,SAMS-65461,LOC-SAMS44144,Salvador,29/3/2016,Shampoo ou Condicionador Aussie Miracle 7 em 1 778 ml
Dale Lanzillotti,dale.lanzillotti@hotmail.com,SAMS-65461,LOC-SAMS44144,Salvador,29/3/2016,Amaciante Aconchego Ypê 5 L
Alec Holste,alec.holste@gmail.com,SAMS-32815,LOC-SAMS5602,Curitiba - Barigui,23/9/2016,Chocolate Kit Kat
Alec Holste,alec.holste@gmail.com,SAMS-32815,LOC-SAMS5602,Curitiba - Barigui,23/9/2016,Ração Carne e Vegetais Herói 18 Kg
Alec Holste,alec.holste@gmail.com,SAMS-32815,LOC-SAMS5602,Curitiba - Barigui,23/9/2016,Papel Guardanapo Folha Dupla Mascot
Casie Jolie,casie.jolie@globomail.com,SAMS-64095,LOC-SAMS26201,Santo André,22/7/2015,Lava Roupas em Pó Member's Mark 5 Kg
Casie Jolie,casie.jolie@globomail.com,SAMS-64095,LOC-SAMS26201,Santo André,22/7/2015,Sacos para Lixo 15 L ou 30 L Member's Mark
Bobbie Vinning,bobbie.vinning@ig.com.br,SAMS-41267,LOC-SAMS54399,Vitória,9/12/2015,Sabão Líquido Roma Coco 2 L
Harriette Leeming,harriette.leeming@uol.com.br,SAMS-17171,LOC-SAMS19439,Porto Alegre,13/4/2015,Shampoo ou Condicionador com Pump Aussie Moist 865 ml
Harriette Leeming,harriette.leeming@uol.com.br,SAMS-17171,LOC-SAMS19439,Porto Alegre,13/4/2015,Escova Dental Oral-B Complete
Harriette Leeming,harriette.leeming@uol.com.br,SAMS-17171,LOC-SAMS19439,Porto Alegre,13/4/2015,Nescau Cereal Matinal 770 g
Harriette Leeming,harriette.leeming@uol.com.br,SAMS-17171,LOC-SAMS19439,Porto Alegre,13/4/2015,Nescau Sachê 2.0 800 g
Pat Capiga,pat.capiga@folha.com.br,SAMS-13848,LOC-SAMS32747,São Bernardo do Campo,23/5/2014,Tratamento Aussie Moist 3 Minutos
Dede Lasher,dede.lasher@r7.com,SAMS-12139,LOC-SAMS43858,Águas Claras,21/1/2014,Aparelho de Barbear Gillette Prestobarba 3
Dede Lasher,dede.lasher@r7.com,SAMS-12139,LOC-SAMS43858,Águas Claras,21/1/2014,Molho Barbecue Heinz
Justin Campanile,justin.campanile@ig.com.br,SAMS-42213,LOC-SAMS59929,Curitiba - Atuba,16/5/2016,Lava Roupas Líquido Member's Mark 5 L
Shari Ehorn,shari.ehorn@ig.com.br,SAMS-65225,LOC-SAMS52846,Maceió,28/4/2016,Maionese Heinz
Shari Ehorn,shari.ehorn@ig.com.br,SAMS-65225,LOC-SAMS52846,Maceió,28/4/2016,Fralda Pampers Confort Sec
Gino Klicker,gino.klicker@ig.com.br,SAMS-59109,LOC-SAMS48302,Osasco,1/4/2016,Cereal Froot Loops Kellogg's
Fred Rattay,fred.rattay@bol.com.br,SAMS-2728,LOC-SAMS54529,São Bernardo do Campo,9/3/2015,Escova Dental Oral-B Complete
Fred Rattay,fred.rattay@bol.com.br,SAMS-2728,LOC-SAMS54529,São Bernardo do Campo,9/3/2015,Shampoo ou Condicionador TRESemmé 1 L
Fred Rattay,fred.rattay@bol.com.br,SAMS-2728,LOC-SAMS54529,São Bernardo do Campo,9/3/2015,Sabão Líquido Roma Coco 2 L
Fred Rattay,fred.rattay@bol.com.br,SAMS-2728,LOC-SAMS54529,São Bernardo do Campo,9/3/2015,Lava Roupas em Pó Member's Mark 5 Kg
Sybil Hnat,sybil.hnat@uol.com.br,SAMS-32195,LOC-SAMS35098,Guarulhos,6/5/2015,Ração Carne e Cereais Herói 18 Kg
Sybil Hnat,sybil.hnat@uol.com.br,SAMS-32195,LOC-SAMS35098,Guarulhos,6/5/2015,Tratamento Aussie Shine + Strong
Sybil Hnat,sybil.hnat@uol.com.br,SAMS-32195,LOC-SAMS35098,Guarulhos,6/5/2015,Ração Carne e Vegetais Herói 18 Kg
Sybil Hnat,sybil.hnat@uol.com.br,SAMS-32195,LOC-SAMS35098,Guarulhos,6/5/2015,Whisky Buchanan's 12 Anos 1 L
Sybil Hnat,sybil.hnat@uol.com.br,SAMS-32195,LOC-SAMS35098,Guarulhos,6/5/2015,Eliminador de Odores Sanol 5 L
Leo Rabun,leo.rabun@pop.com.br,SAMS-24583,LOC-SAMS42092,Santo Amaro,23/1/2015,Composto Lácteo em Pó Zero Lactose Ninho 380 g
Leo Rabun,leo.rabun@pop.com.br,SAMS-24583,LOC-SAMS42092,Santo Amaro,23/1/2015,Whisky Buchanan's 12 Anos 1 L
Blake Foushee,blake.foushee@ig.com.br,SAMS-14281,LOC-SAMS62960,São Caetano do Sul,13/3/2015,Sacos para Lixo 50 L ou 100 L Member's Mark
Tierra Donnely,tierra.donnely@folha.com.br,SAMS-23785,LOC-SAMS22109,São Bernardo do Campo,11/7/2015,Sacos para Lixo 15 L ou 30 L Member's Mark
Tierra Donnely,tierra.donnely@folha.com.br,SAMS-23785,LOC-SAMS22109,São Bernardo do Campo,11/7/2015,Eliminador de Odores Sanol 5 L
Tierra Donnely,tierra.donnely@folha.com.br,SAMS-23785,LOC-SAMS22109,São Bernardo do Campo,11/7/2015,Papel Toalha Kitchen Jumbo
Tierra Donnely,tierra.donnely@folha.com.br,SAMS-23785,LOC-SAMS22109,São Bernardo do Campo,11/7/2015,Sacos para Lixo 50 L ou 100 L Member's Mark
Tierra Donnely,tierra.donnely@folha.com.br,SAMS-23785,LOC-SAMS22109,São Bernardo do Campo,11/7/2015,Tira Manchas Member's Mark 2,5 Kg
Roxie Slothower,roxie.slothower@oi.com.br,SAMS-43474,LOC-SAMS50967,Salvador,20/2/2014,Composto Lácteo Crescimento 1+ Ninho 800 g
Roxie Slothower,roxie.slothower@oi.com.br,SAMS-43474,LOC-SAMS50967,Salvador,20/2/2014,Maionese Heinz
Daniela Rubulcaba,daniela.rubulcaba@ig.com.br,SAMS-32061,LOC-SAMS35155,Curitiba - Atuba,13/11/2015,Whisky Johnnie Walker Green Label 750 ml
Daniela Rubulcaba,daniela.rubulcaba@ig.com.br,SAMS-32061,LOC-SAMS35155,Curitiba - Atuba,13/11/2015,Amaciante Concentrado Downy 3,96 L
Daniela Rubulcaba,daniela.rubulcaba@ig.com.br,SAMS-32061,LOC-SAMS35155,Curitiba - Atuba,13/11/2015,Papel Higiênico Personal Decor
Daniela Rubulcaba,daniela.rubulcaba@ig.com.br,SAMS-32061,LOC-SAMS35155,Curitiba - Atuba,13/11/2015,Whisky Old Parr 1 L
Daniela Rubulcaba,daniela.rubulcaba@ig.com.br,SAMS-32061,LOC-SAMS35155,Curitiba - Atuba,13/11/2015,Amaciante Concentrado Downy 3,96 L
Loma Dorfman,loma.dorfman@yahoo.com.br,SAMS-60716,LOC-SAMS20585,Osasco,19/2/2015,Tomate Inteiro Pelado Italiano Raiola
Eleonor Rosson,eleonor.rosson@uol.com.br,SAMS-45680,LOC-SAMS50654,Guarulhos,8/9/2015,Aparelho de Barbear Gillette Prestobarba 3
Eleonor Rosson,eleonor.rosson@uol.com.br,SAMS-45680,LOC-SAMS50654,Guarulhos,8/9/2015,Kit Finish 3 Unidades
Yang Prakash,yang.prakash@bol.com.br,SAMS-52096,LOC-SAMS17428,Radial Leste,8/8/2015,Alimento para Cães Adultos Ultima Sachê
Yang Prakash,yang.prakash@bol.com.br,SAMS-52096,LOC-SAMS17428,Radial Leste,8/8/2015,Sabonete Líquido Member's Mark 980 ml
Yang Prakash,yang.prakash@bol.com.br,SAMS-52096,LOC-SAMS17428,Radial Leste,8/8/2015,Sabão Líquido Roma Coco 2 L
Janita Hipwell,janita.hipwell@pop.com.br,SAMS-59032,LOC-SAMS52990,Santo Amaro,10/3/2015,Sabão Líquido Roma Coco 2 L
Janita Hipwell,janita.hipwell@pop.com.br,SAMS-59032,LOC-SAMS52990,Santo Amaro,10/3/2015,Kit Fisher-Price
Janita Hipwell,janita.hipwell@pop.com.br,SAMS-59032,LOC-SAMS52990,Santo Amaro,10/3/2015,Sacos para Lixo 50 L ou 100 L Member's Mark
Guillermo Toothill,guillermo.toothill@zipmail.com.br,SAMS-6039,LOC-SAMS27504,Santo Amaro,30/10/2015,Whisky Old Parr 1 L
Guillermo Toothill,guillermo.toothill@zipmail.com.br,SAMS-6039,LOC-SAMS27504,Santo Amaro,30/10/2015,Shampoo ou Condicionador Aussie Miracle 7 em 1 778 ml
Guillermo Toothill,guillermo.toothill@zipmail.com.br,SAMS-6039,LOC-SAMS27504,Santo Amaro,30/10/2015,Shampoo ou Condicionador TRESemmé 1 L
Guillermo Toothill,guillermo.toothill@zipmail.com.br,SAMS-6039,LOC-SAMS27504,Santo Amaro,30/10/2015,Sacos para Lixo Reforçado Dover Roll 100 L
Tiffany Lisboa,tiffany.lisboa@bol.com.br,SAMS-27252,LOC-SAMS15334,Radial Leste,22/6/2015,Lava Roupas Dreft
Tiffany Lisboa,tiffany.lisboa@bol.com.br,SAMS-27252,LOC-SAMS15334,Radial Leste,22/6/2015,Ração Carne e Vegetais Herói 18 Kg
Tiffany Lisboa,tiffany.lisboa@bol.com.br,SAMS-27252,LOC-SAMS15334,Radial Leste,22/6/2015,Sacos para Lixo 15 L ou 30 L Member's Mark
Antoine Pamintuan,antoine.pamintuan@r7.com,SAMS-45036,LOC-SAMS13194,Guarulhos,21/5/2015,Sabonete Líquido Jurassic 750 ml
Antoine Pamintuan,antoine.pamintuan@r7.com,SAMS-45036,LOC-SAMS13194,Guarulhos,21/5/2015,Composto Lácteo Crescimento 1+ Ninho 800 g
Antoine Pamintuan,antoine.pamintuan@r7.com,SAMS-45036,LOC-SAMS13194,Guarulhos,21/5/2015,Tapete Higiênico Sanol Dog
Antoine Pamintuan,antoine.pamintuan@r7.com,SAMS-45036,LOC-SAMS13194,Guarulhos,21/5/2015,Kit Oral-B Stages
Woodrow Fann,woodrow.fann@pop.com.br,SAMS-4515,LOC-SAMS13205,Maceió,21/4/2014,Escova Dental Oral-B Complete
Woodrow Fann,woodrow.fann@pop.com.br,SAMS-4515,LOC-SAMS13205,Maceió,21/4/2014,Sabonete Líquido Member's Mark 980 ml
Berry Mccarraher,berry.mccarraher@uol.com.br,SAMS-24885,LOC-SAMS55519,Curitiba - Barigui,15/4/2016,Sacos para Lixo 15 L ou 30 L Member's Mark
Joaquina Castilo,joaquina.castilo@zipmail.com.br,SAMS-33071,LOC-SAMS52348,São Caetano do Sul,4/5/2016,Lava Roupas Líquido Member's Mark 5 L
Joaquina Castilo,joaquina.castilo@zipmail.com.br,SAMS-33071,LOC-SAMS52348,São Caetano do Sul,4/5/2016,Azeitonas Pretas Azapa Raiola 500 g
Joaquina Castilo,joaquina.castilo@zipmail.com.br,SAMS-33071,LOC-SAMS52348,São Caetano do Sul,4/5/2016,Aparelho de Barbear Gillette Prestobarba 3
Joaquina Castilo,joaquina.castilo@zipmail.com.br,SAMS-33071,LOC-SAMS52348,São Caetano do Sul,4/5/2016,Papel Higiênico Personal Decor
Jone Zinn,jone.zinn@hotmail.com,SAMS-34121,LOC-SAMS51827,São Bernardo do Campo,24/2/2015,Kit Shampoo + Condicionador Dove 750 ml
Jone Zinn,jone.zinn@hotmail.com,SAMS-34121,LOC-SAMS51827,São Bernardo do Campo,24/2/2015,Whisky Johnnie Walker Green Label 750 ml
Jone Zinn,jone.zinn@hotmail.com,SAMS-34121,LOC-SAMS51827,São Bernardo do Campo,24/2/2015,Aparelho de Barbear Gillette Prestobarba 3
Jone Zinn,jone.zinn@hotmail.com,SAMS-34121,LOC-SAMS51827,São Bernardo do Campo,24/2/2015,Chocolate Kit Kat
Velvet Fulmore,velvet.fulmore@gmail.com,SAMS-9547,LOC-SAMS57455,Porto Alegre,24/10/2016,Tomate Inteiro Pelado Italiano Raiola
Winston Mahfouz,winston.mahfouz@hotmail.com,SAMS-4839,LOC-SAMS26175,Salvador,2/3/2014,Absorvente com Abas Maxi Proteção Always
Winston Mahfouz,winston.mahfouz@hotmail.com,SAMS-4839,LOC-SAMS26175,Salvador,2/3/2014,Novi a Mop Twister
Winston Mahfouz,winston.mahfouz@hotmail.com,SAMS-4839,LOC-SAMS26175,Salvador,2/3/2014,Papel Toalha Kitchen Jumbo
Winston Mahfouz,winston.mahfouz@hotmail.com,SAMS-4839,LOC-SAMS26175,Salvador,2/3/2014,Azeitonas Pretas Azapa Raiola 500 g
Lauretta Selem,lauretta.selem@r7.com,SAMS-24367,LOC-SAMS24093,Campinas,12/4/2015,Lava Roupas Líquido Member's Mark 5 L
Lauretta Selem,lauretta.selem@r7.com,SAMS-24367,LOC-SAMS24093,Campinas,12/4/2015,Composto Lácteo em Pó Zero Lactose Ninho 380 g
Catrice Enwright,catrice.enwright@hotmail.com,SAMS-10858,LOC-SAMS50539,Linha Amarela,17/1/2014,Nescau Sachê 2.0 800 g
Catrice Enwright,catrice.enwright@hotmail.com,SAMS-10858,LOC-SAMS50539,Linha Amarela,17/1/2014,Lava Roupas Líquido Member's Mark 5 L
Catrice Enwright,catrice.enwright@hotmail.com,SAMS-10858,LOC-SAMS50539,Linha Amarela,17/1/2014,Amaciante Concentrado Downy 3,96 L
Odessa Earles,odessa.earles@gmail.com,SAMS-17070,LOC-SAMS17296,São José dos Campos,11/11/2016,Fralda Pampers Confort Sec
Marcia Fredline,marcia.fredline@globomail.com,SAMS-29327,LOC-SAMS41694,Ribeirão Preto,14/9/2015,Mostarda Heinz
Josue Lerow,josue.lerow@globomail.com,SAMS-10360,LOC-SAMS26223,Santo André,13/1/2016,Alimento para Cães Adultos Ultima Sachê
Josue Lerow,josue.lerow@globomail.com,SAMS-10360,LOC-SAMS26223,Santo André,13/1/2016,Alimento para Cães Adultos Ultima Sachê
Dorla Fees,dorla.fees@hotmail.com,SAMS-44265,LOC-SAMS37576,São Bernardo do Campo,28/1/2014,Lava Roupas em Pó Member's Mark 5 Kg
Dorla Fees,dorla.fees@hotmail.com,SAMS-44265,LOC-SAMS37576,São Bernardo do Campo,28/1/2014,Kit Fisher-Price
Dorla Fees,dorla.fees@hotmail.com,SAMS-44265,LOC-SAMS37576,São Bernardo do Campo,28/1/2014,Sacos para Lixo Reforçado Dover Roll 100 L
Jacquelin Burger,jacquelin.burger@globomail.com,SAMS-2200,LOC-SAMS1848,Curitiba - Barigui,17/12/2016,Absorvente com Abas Maxi Proteção Always
Jacquelin Burger,jacquelin.burger@globomail.com,SAMS-2200,LOC-SAMS1848,Curitiba - Barigui,17/12/2016,Whisky Old Parr 1 L
Jacquelin Burger,jacquelin.burger@globomail.com,SAMS-2200,LOC-SAMS1848,Curitiba - Barigui,17/12/2016,Whisky Old Parr 1 L
Jacquelin Burger,jacquelin.burger@globomail.com,SAMS-2200,LOC-SAMS1848,Curitiba - Barigui,17/12/2016,Kit Oral-B Stages
Jacquelin Burger,jacquelin.burger@globomail.com,SAMS-2200,LOC-SAMS1848,Curitiba - Barigui,17/12/2016,Shampoo Pantene 1 L
Jacquelin Burger,jacquelin.burger@globomail.com,SAMS-2200,LOC-SAMS1848,Curitiba - Barigui,17/12/2016,Shampoo ou Condicionador TRESemmé 1 L
Shawana Fabeck,shawana.fabeck@pop.com.br,SAMS-41109,LOC-SAMS27190,Recife,11/9/2015,Limpa Vidros Member's Mark
Shawana Fabeck,shawana.fabeck@pop.com.br,SAMS-41109,LOC-SAMS27190,Recife,11/9/2015,Tomate Inteiro Pelado Italiano Raiola
Hershel Windom,hershel.windom@r7.com,SAMS-35861,LOC-SAMS12815,São José dos Campos,24/6/2016,Absorvente com Abas Maxi Proteção Always
Hershel Windom,hershel.windom@r7.com,SAMS-35861,LOC-SAMS12815,São José dos Campos,24/6/2016,Nescau Sachê 2.0 800 g
Hershel Windom,hershel.windom@r7.com,SAMS-35861,LOC-SAMS12815,São José dos Campos,24/6/2016,Shampoo Pantene 1 L
Tomeka Barto,tomeka.barto@yahoo.com.br,SAMS-53921,LOC-SAMS55387,Santo Amaro,30/11/2014,Eliminador de Odores Sanol 5 L
Tomeka Barto,tomeka.barto@yahoo.com.br,SAMS-53921,LOC-SAMS55387,Santo Amaro,30/11/2014,Tomate Inteiro Pelado Italiano Raiola
Tomeka Barto,tomeka.barto@yahoo.com.br,SAMS-53921,LOC-SAMS55387,Santo Amaro,30/11/2014,Cereal Froot Loops Kellogg's
Shantae Railing,shantae.railing@bol.com.br,SAMS-15614,LOC-SAMS9958,Linha Amarela,10/1/2015,Shampoo Pantene 1 L
Shantae Railing,shantae.railing@bol.com.br,SAMS-15614,LOC-SAMS9958,Linha Amarela,10/1/2015,Filtro Melitta Aroma Max 103
Shantae Railing,shantae.railing@bol.com.br,SAMS-15614,LOC-SAMS9958,Linha Amarela,10/1/2015,Papel Toalha Kitchen Jumbo
Shantae Railing,shantae.railing@bol.com.br,SAMS-15614,LOC-SAMS9958,Linha Amarela,10/1/2015,Freezer Roll 3 L
Adrianna Lutjen,adrianna.lutjen@r7.com,SAMS-22454,LOC-SAMS53529,Natal,26/11/2015,Tapete Higiênico Sanol Dog
Adrianna Lutjen,adrianna.lutjen@r7.com,SAMS-22454,LOC-SAMS53529,Natal,26/11/2015,Composto Lácteo em Pó Zero Lactose Ninho 380 g
Adrianna Lutjen,adrianna.lutjen@r7.com,SAMS-22454,LOC-SAMS53529,Natal,26/11/2015,Passa Fácil Member's Mark
Adrianna Lutjen,adrianna.lutjen@r7.com,SAMS-22454,LOC-SAMS53529,Natal,26/11/2015,Whisky Old Parr 1 L
Adrianna Lutjen,adrianna.lutjen@r7.com,SAMS-22454,LOC-SAMS53529,Natal,26/11/2015,Freezer Roll 3 L
Vicente Gungor,vicente.gungor@pop.com.br,SAMS-59862,LOC-SAMS46176,São Caetano do Sul,2/4/2015,Passa Fácil Member's Mark
Vicente Gungor,vicente.gungor@pop.com.br,SAMS-59862,LOC-SAMS46176,São Caetano do Sul,2/4/2015,Ração Carne e Cereais Herói 18 Kg
Felix Kettle,felix.kettle@yahoo.com.br,SAMS-23153,LOC-SAMS23180,Goiânia,5/6/2014,Kit Oral-B Stages
Felix Kettle,felix.kettle@yahoo.com.br,SAMS-23153,LOC-SAMS23180,Goiânia,5/6/2014,Shampoo ou Condicionador Aussie Miracle 7 em 1 778 ml
Felix Kettle,felix.kettle@yahoo.com.br,SAMS-23153,LOC-SAMS23180,Goiânia,5/6/2014,Lava Roupas em Pó Member's Mark 5 Kg
Corrin Vezza,corrin.vezza@pop.com.br,SAMS-32654,LOC-SAMS20888,Vitória,26/6/2015,Sacos para Lixo 50 L ou 100 L Member's Mark
Corrin Vezza,corrin.vezza@pop.com.br,SAMS-32654,LOC-SAMS20888,Vitória,26/6/2015,Sabonete Líquido Jurassic 750 ml
Rolf Joeckel,rolf.joeckel@zipmail.com.br,SAMS-42467,LOC-SAMS26467,Osasco,27/8/2016,Sabonete Líquido Member's Mark 980 ml
Rolf Joeckel,rolf.joeckel@zipmail.com.br,SAMS-42467,LOC-SAMS26467,Osasco,27/8/2016,Rolo Adesivo Scotch-Brite
Shawn Worsham,shawn.worsham@uol.com.br,SAMS-42181,LOC-SAMS18734,São José dos Campos,5/6/2016,Freezer Roll 2 L
Shawn Worsham,shawn.worsham@uol.com.br,SAMS-42181,LOC-SAMS18734,São José dos Campos,5/6/2016,Ração Carne e Vegetais Herói 18 Kg
Shawn Worsham,shawn.worsham@uol.com.br,SAMS-42181,LOC-SAMS18734,São José dos Campos,5/6/2016,Eliminador de Odores Sanol 5 L
Dennise Valotta,dennise.valotta@ig.com.br,SAMS-39018,LOC-SAMS17619,Recife,7/10/2015,Rolo Adesivo Scotch-Brite
Dennise Valotta,dennise.valotta@ig.com.br,SAMS-39018,LOC-SAMS17619,Recife,7/10/2015,Shampoo ou Condicionador com Pump Aussie Moist 865 ml
Dennise Valotta,dennise.valotta@ig.com.br,SAMS-39018,LOC-SAMS17619,Recife,7/10/2015,Sucrilhos Kellogg's
Dennise Valotta,dennise.valotta@ig.com.br,SAMS-39018,LOC-SAMS17619,Recife,7/10/2015,Papel Toalha Kitchen Jumbo
Dennise Valotta,dennise.valotta@ig.com.br,SAMS-39018,LOC-SAMS17619,Recife,7/10/2015,Cereal Froot Loops Kellogg's
Dennise Valotta,dennise.valotta@ig.com.br,SAMS-39018,LOC-SAMS17619,Recife,7/10/2015,Kit Shampoo + Condicionador Dove 750 ml
Rory Britts,rory.britts@folha.com.br,SAMS-62921,LOC-SAMS1204,Linha Amarela,21/2/2015,Rolo Adesivo Scotch-Brite
Rory Britts,rory.britts@folha.com.br,SAMS-62921,LOC-SAMS1204,Linha Amarela,21/2/2015,Kit Shampoo + Condicionador Dove 750 ml
Lonnie Magby,lonnie.magby@r7.com,SAMS-5413,LOC-SAMS23160,São José dos Campos,23/4/2016,Tratamento Aussie Shine + Strong
Lonnie Magby,lonnie.magby@r7.com,SAMS-5413,LOC-SAMS23160,São José dos Campos,23/4/2016,Chocolate Kit Kat
Lonnie Magby,lonnie.magby@r7.com,SAMS-5413,LOC-SAMS23160,São José dos Campos,23/4/2016,Filtro Melitta Aroma Max 103
