Cliente,Perfil,Tipo,Email,ID Cartão Sócio,Localizador,clubeFavorito,Ultima Compra,Gênero,Faixa Etária,Familia,Ticket Médio
Cary Hogains,00e410000016NwjAAE,PF,cary.hogains@bol.com.br,SAMS-13538,LOC-SAMS32559,Salvador,mai,M,acima de 50 anos,Matinais,552
Corazon Tomidy,00e410000016NxGAAU,PF,corazon.tomidy@yahoo.com.br,SAMS-42975,LOC-SAMS31076,Recife,mar,F,de 40 até 50 anos,Molhos e Temperos,502
Yahaira Holley,00e410000016NxGAAU,PF,yahaira.holley@pop.com.br,SAMS-20764,LOC-SAMS44830,Maceió,set,M,de 40 até 50 anos,Molhos e Temperos,748
Carla Vulgamott,00e410000016Nx8AAE,PJ,carla.vulgamott@globomail.com,SAMS-18480,LOC-SAMS13790,Natal,jul,M,de 30 até 40 anos,Higiene,454
Luther Bubert,00e410000016Nx8AAE,PJ,luther.bubert@r7.com,SAMS-59685,LOC-SAMS38118,Águas Claras,out,F,Abaixo de 30 anos,Limpeza,401
Robbyn Ditton,00e410000016Nx8AAE,PF,robbyn.ditton@uol.com.br,SAMS-59633,LOC-SAMS24218,Guarulhos,abr,F,acima de 50 anos,Matinais,607
Raymonde Truocchio,00e410000016NwWAAU,PF,raymonde.truocchio@hotmail.com,SAMS-7204,LOC-SAMS18280,Fortaleza,fev,M,de 40 até 50 anos,Molhos e Temperos,697
Bennie Sjostrom,00e410000016Nx8AAE,PJ,bennie.sjostrom@oi.com.br,SAMS-53373,LOC-SAMS39776,Fortaleza,ago,F,de 30 até 40 anos,Higiene,487
Mee Wetherby,00e410000016NwWAAU,PJ,mee.wetherby@folha.com.br,SAMS-57641,LOC-SAMS13664,Niterói,nov,F,de 30 até 40 anos,Conservas,698
Emmy Quiett,00e410000016NwjAAE,PF,emmy.quiett@oi.com.br,SAMS-52696,LOC-SAMS47090,Bom Retiro,ago,M,de 40 até 50 anos,Molhos e Temperos,475
Jeanice Halseth,00e410000016NwjAAE,PF,jeanice.halseth@r7.com,SAMS-64250,LOC-SAMS17759,Santo André,out,M,de 40 até 50 anos,Papelaria,601
Neda Gizzi,00e410000016NwWAAU,PF,neda.gizzi@gmail.com,SAMS-2205,LOC-SAMS60056,Águas Claras,jan,F,de 40 até 50 anos,Papelaria,780
Luther Vanaman,00e410000016Nx8AAE,PJ,luther.vanaman@globomail.com,SAMS-61050,LOC-SAMS12156,Águas Claras,jul,F,Abaixo de 30 anos,Descartáveis,606
Rachal Peet,00e410000016NxGAAU,PF,rachal.peet@ig.com.br,SAMS-21993,LOC-SAMS38799,Brasília,jun,F,de 40 até 50 anos,Papelaria,629
Margo Boyko,00e410000016NwWAAU,PF,margo.boyko@zipmail.com.br,SAMS-37360,LOC-SAMS37856,Maceió,dez,F,de 40 até 50 anos,Papelaria,503
Deloris Choy,00e410000016NwjAAE,PJ,deloris.choy@yahoo.com.br,SAMS-30714,LOC-SAMS61138,Maceió,mar,M,Abaixo de 30 anos,Descartáveis,610
Joana Roberds,00e410000016NwjAAE,PJ,joana.roberds@globomail.com,SAMS-13713,LOC-SAMS40784,Guarulhos,jul,F,Abaixo de 30 anos,Limpeza,750
Kathline Upthegrove,00e410000016NwjAAE,PF,kathline.upthegrove@zipmail.com.br,SAMS-6353,LOC-SAMS31224,Brasília,dez,F,de 40 até 50 anos,Molhos e Temperos,627
Hermine Espanol,00e410000016NwjAAE,PF,hermine.espanol@folha.com.br,SAMS-56546,LOC-SAMS64697,Linha Amarela,nov,M,acima de 50 anos,Infantil,666
Ellyn Salters,00e410000016Nx8AAE,PF,ellyn.salters@ig.com.br,SAMS-4367,LOC-SAMS33860,Goiânia,jun,F,acima de 50 anos,Infantil,473
Rene Ferdico,00e410000016NwWAAU,PF,rene.ferdico@uol.com.br,SAMS-25764,LOC-SAMS17854,Porto Alegre,abr,F,de 40 até 50 anos,Papelaria,767
Loria Hakkila,00e410000016NwjAAE,PJ,loria.hakkila@ig.com.br,SAMS-1093,LOC-SAMS2350,Recife,jun,F,de 30 até 40 anos,Conservas,465
Claretta Verbit,00e410000016NxGAAU,PJ,claretta.verbit@zipmail.com.br,SAMS-36154,LOC-SAMS41301,São Caetano do Sul,dez,M,Abaixo de 30 anos,Descartáveis,711
Kim Varella,00e410000016NwWAAU,PF,kim.varella@bol.com.br,SAMS-26342,LOC-SAMS51085,Radial Leste,mai,F,acima de 50 anos,Matinais,744
Hortense Hatake,00e410000016Nx8AAE,PJ,hortense.hatake@folha.com.br,SAMS-35423,LOC-SAMS36793,São Bernardo do Campo,nov,F,Abaixo de 30 anos,Limpeza,702
Carol Vandever,00e410000016NwWAAU,PF,carol.vandever@hotmail.com,SAMS-38311,LOC-SAMS4061,Salvador,fev,M,de 40 até 50 anos,Papelaria,793
Theda Holly,00e410000016NwWAAU,PJ,theda.holly@uol.com.br,SAMS-60562,LOC-SAMS45005,Santo André,abr,M,Abaixo de 30 anos,Limpeza,791
Crissy Bobbs,00e410000016Nx8AAE,PJ,crissy.bobbs@yahoo.com.br,SAMS-61961,LOC-SAMS26665,Santo Amaro,mar,F,de 30 até 40 anos,Higiene,798
Racheal Halliwell,00e410000016Nx8AAE,PJ,racheal.halliwell@bol.com.br,SAMS-49336,LOC-SAMS16421,Radial Leste,mai,F,de 30 até 40 anos,Conservas,560
Ciara Murrin,00e410000016Nx8AAE,PF,ciara.murrin@folha.com.br,SAMS-34133,LOC-SAMS2838,Tamboré,nov,F,acima de 50 anos,Matinais,622
Arianna Twombly,00e410000016NxGAAU,PF,arianna.twombly@ig.com.br,SAMS-53288,LOC-SAMS2750,Recife,jun,F,acima de 50 anos,Matinais,721
Hester Henderosn,00e410000016Nx8AAE,PJ,hester.henderosn@gmail.com,SAMS-32418,LOC-SAMS57923,Porto Alegre,jan,F,de 30 até 40 anos,Higiene,452
Lakeisha Ravenhorst,00e410000016Nx8AAE,PF,lakeisha.ravenhorst@globomail.com,SAMS-15576,LOC-SAMS24362,Santo André,jul,F,de 40 até 50 anos,Molhos e Temperos,586
Barrett Pfeffer,00e410000016NwWAAU,PF,barrett.pfeffer@r7.com,SAMS-38576,LOC-SAMS17958,São José dos Campos,out,M,acima de 50 anos,Infantil,649
Lizzie Grater,00e410000016Nx8AAE,PF,lizzie.grater@gmail.com,SAMS-12243,LOC-SAMS44096,Ribeirão Preto,jan,F,de 40 até 50 anos,Papelaria,452
Aron Hallett,00e410000016Nx8AAE,PJ,aron.hallett@zipmail.com.br,SAMS-21854,LOC-SAMS5036,Maceió,dez,F,de 30 até 40 anos,Conservas,543
Jamison Lafrate,00e410000016NwWAAU,PJ,jamison.lafrate@hotmail.com,SAMS-42398,LOC-SAMS42490,Salvador,fev,M,de 30 até 40 anos,Conservas,697
Tillie Schwartz,00e410000016NxGAAU,PF,tillie.schwartz@folha.com.br,SAMS-37345,LOC-SAMS60727,Salvador,nov,F,acima de 50 anos,Matinais,506
Bridgett Rasely,00e410000016NwjAAE,PF,bridgett.rasely@globomail.com,SAMS-11730,LOC-SAMS49858,Santo André,jul,F,de 40 até 50 anos,Molhos e Temperos,418
Loise Chiverton,00e410000016Nx8AAE,PJ,loise.chiverton@ig.com.br,SAMS-31816,LOC-SAMS4753,Brasília,jun,M,Abaixo de 30 anos,Limpeza,529
Elvia Winkelman,00e410000016NwjAAE,PF,elvia.winkelman@uol.com.br,SAMS-55034,LOC-SAMS38475,Porto Alegre,abr,M,de 40 até 50 anos,Papelaria,415
Gaylene Augusta,00e410000016NwWAAU,PF,gaylene.augusta@pop.com.br,SAMS-53660,LOC-SAMS34965,Goiânia,set,M,de 40 até 50 anos,Molhos e Temperos,608
Kati Bosque,00e410000016NwjAAE,PJ,kati.bosque@pop.com.br,SAMS-52101,LOC-SAMS57439,Vitória,set,F,de 30 até 40 anos,Higiene,540
Cordie Sonders,00e410000016NwjAAE,PJ,cordie.sonders@zipmail.com.br,SAMS-35909,LOC-SAMS25581,Vitória,dez,M,de 30 até 40 anos,Higiene,591
Sang Andreas,00e410000016NwWAAU,PJ,sang.andreas@pop.com.br,SAMS-28880,LOC-SAMS51384,Osasco,set,M,Abaixo de 30 anos,Limpeza,524
Denae Knott,00e410000016NwjAAE,PF,denae.knott@oi.com.br,SAMS-51494,LOC-SAMS56185,Fortaleza,ago,M,acima de 50 anos,Matinais,579
